t,observed_entry,lo_entry,hi_entry
2023-05-27 21:10:00,2176.0,1430.1789903640747,2678.383387565613
2023-05-27 21:20:00,1948.0,1464.0766954421997,2746.094813346863
2023-05-27 21:30:00,1644.0,1364.4930772781372,2615.023280143738
2023-05-27 21:40:00,1710.0,1175.3288927078247,2335.109217643738
2023-05-27 21:50:00,1560.0,1082.7810411453247,2170.854334831238
2023-05-27 22:00:00,2030.0,969.8558702468872,1981.0817518234253
2023-05-27 22:10:00,1541.0,1038.7977647781372,2137.618983268738
2023-05-27 22:20:00,1051.0,910.723484992981,1948.5935926437378
2023-05-27 22:30:00,1087.0,611.7594957351685,1519.7832899093628
2023-05-27 22:40:00,911.0,474.3073778152466,1265.8940076828003
2023-05-27 22:50:00,433.0,345.63876819610596,1040.1076307296753
2023-05-27 23:00:00,340.0,142.4197130203247,713.754298210144
